new_price,old_price,discount,sold,vn_name,en_name,url_thumbnail
206.000 ₫,275.000 ₫,25%,189,Sữa Tắm Nước Hoa Tesori d'Oriente Hương Hoa Sen 500ml,Shower Cream #Lotus Flower And Shea Butter,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-nuoc-hoa-tesori-d-oriente-huong-hoa-sen-500ml-1709092708_img_380x380_64adc6_fit_center.png
218.000 ₫,275.000 ₫,21%,65,Sữa Tắm Nước Hoa Tesori d'Oriente Hương Thanh Long 500ml,Shower Cream #Fiore Del Dragone,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-nuoc-hoa-tesori-d-oriente-huong-thanh-long-500ml-1709089373_img_380x380_64adc6_fit_center.png
228.000 ₫,279.000 ₫,18%,39,Kem Dưỡng Thể Tesori d'Oriente Hương Hoa Sen 300g,Body Cream #Lotus Flower And Acacia's Milk,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-duong-the-tesori-d-oriente-huong-hoa-sen-300g-1720494336_img_380x380_64adc6_fit_center.jpg
137.000 ₫,175.000 ₫,22%,39,Sữa Tắm Nước Hoa Tesori d'Oriente Hương Hoa Sen 250ml,Shower Cream #Lotus Flower And Shea Butter,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-nuoc-hoa-tesori-d-oriente-huong-hoa-sen-250ml-1720494104_img_380x380_64adc6_fit_center.jpg
205.000 ₫,275.000 ₫,25%,20,Sữa Tắm Nước Hoa Tesori d'Oriente Hy Lạp Cổ Đại 500ml,Shower Cream #Black Rose And Labdanum,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-nuoc-hoa-tesori-d-oriente-hy-lap-co-dai-500ml-1709092582_img_380x380_64adc6_fit_center.png
137.000 ₫,175.000 ₫,22%,16,Sữa Tắm Nước Hoa Tesori d'Oriente Hương Thanh Long 250ml,Shower Cream #Fiore Del Dragone,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-nuoc-hoa-tesori-d-oriente-huong-thanh-long-250ml-1720494550_img_380x380_64adc6_fit_center.jpg
148.000 ₫,175.000 ₫,15%,8,Sữa Tắm Nước Hoa Tesori d'Oriente Hy Lạp Cổ Đại 250ml,Shower Cream #Black Rose And Labdanum,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-nuoc-hoa-tesori-d-oriente-hy-lap-co-dai-250ml-1720494736_img_380x380_64adc6_fit_center.jpg
15.000 ₫,,,12,[Mini] 1 Gói Sữa Tắm Nước Hoa Tesori d'Oriente 7ml (Mùi Ngẫu Nhiên),,https://media.hcdn.vn/catalog/product/g/o/google-shopping-gift-sample-sua-tam-nuoc-hoa-tesori-d-oriente-goi-7ml-1682309794_img_380x380_64adc6_fit_center.jpg
148.000 ₫,175.000 ₫,15%,,Sữa Tắm Nước Hoa Tesori d'Oriente Hương Ayurveda 250ml,Shower Cream #Ayurveda,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-nuoc-hoa-tesori-d-oriente-huong-ayurveda-250ml-1709089864_img_380x380_64adc6_fit_center.png
219.000 ₫,275.000 ₫,20%,,Sữa Tắm Nước Hoa Tesori d'Oriente Hương Ayurveda 500ml,Shower Cream #Ayurveda,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-nuoc-hoa-tesori-d-oriente-huong-ayurveda-500ml-1709089936_img_380x380_64adc6_fit_center.png
219.000 ₫,275.000 ₫,20%,,Sữa Tắm Nước Hoa Tesori d'Oriente Tinh Dầu Macca 500ml,Shower Cream #Vaniglia e Zenzero del Madagascar,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-nuoc-hoa-tesori-d-oriente-tinh-dau-macca-500ml-1709089555_img_380x380_64adc6_fit_center.png
15.000 ₫,30.000 ₫,50%,3,Miếng Dán Ciracle Hỗ Trợ Hút Và Đẩy Mụn Đầu Đen (1 Miếng),Goodbye Blackhead,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-mat-na-serum-ciracle-day-mun-dau-den-1-mieng-1736912749_img_380x380_64adc6_fit_center.jpg
60.000 ₫,80.000 ₫,25%,,Combo 4 Miếng Dán Ciracle Hỗ Trợ Hút Và Đẩy Mụn Đầu Đen,Goodbye Blackhead,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-4-mieng-ciracle-day-mun-dau-den-1736912455_img_380x380_64adc6_fit_center.jpg
120.000 ₫,160.000 ₫,25%,,Combo 8 Miếng Dán Ciracle Hỗ Trợ Hút Và Đẩy Mụn Đầu Đen,Goodbye Blackhead,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-8-mieng-ciracle-day-mun-dau-den-1736995596_img_380x380_64adc6_fit_center.jpg
143.000 ₫,214.500 ₫,33%,1.424,Sữa Tắm Lifebuoy Detox Matcha & Khổ Qua 800g,,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-lifebuoy-detox-matcha-kho-qua-800g-1718682846_img_380x380_64adc6_fit_center.jpg
139.000 ₫,199.000 ₫,30%,1.358,Smoothie Tẩy Da Chết Dove Hương Lựu Đỏ 298g,Moisturizing Body Scrub Pomegranate Fragrance,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-smoothie-tay-da-chet-dove-huong-luu-do-298g_mwe1jkQYcBmDVrzK_img_380x380_64adc6_fit_center.png
95.000 ₫,132.000 ₫,28%,1.611,Sữa Rửa Mặt Simple Giúp Da Sạch Thoáng 150ml,Kind To Skin Refreshing Facial Wash Gel,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-rua-mat-danh-cho-da-nhay-cam-simple-150ml_24eoXozFDukWYZTr_img_380x380_64adc6_fit_center.png
227.000 ₫,300.000 ₫,24%,514,Combo Sữa Dưỡng Thể Vaseline Sáng Mịn Da Ngày & Đêm 330mlx2,Gluta-Hya Serum Burst UV Lotion Flawless Bright & Dewy Radiance,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422211153-1689238041_img_380x380_64adc6_fit_center.jpg
112.000 ₫,150.000 ₫,25%,990,Sữa Dưỡng Thể Vaseline Sáng Da Chuyên Sâu Ban Đêm 330ml,Gluta-Hya Serum Burst UV Lotion Dewy Radiance,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-serum-vaseline-gluta-hya-sang-da-chuyen-sau-ban-dem-330ml_8aVEHBzsg2sryjDj_img_380x380_64adc6_fit_center.png
109.000 ₫,180.000 ₫,39%,948,Nước Hoa Hồng Simple Làm Dịu Da & Cấp Ẩm 200ml,Kind to Skin Soothing Facial Toner,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-nuoc-hoa-hong-simple-danh-cho-da-nhay-cam-200ml_1BkMZjrfHvtkHYYS_img_380x380_64adc6_fit_center.png
303.000 ₫,370.000 ₫,18%,293,Bộ Gội Xả TRESemmé Keratin Vào Nếp Suôn Mượt 640g+620g,Keratin Smooth Shampoo & Conditioner,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-tresemme-keratin-smooth-vao-nep-muot-ma-dau-goi-640g-dau-xa-620g_rfohrSXsCtjqoDzF_img_380x380_64adc6_fit_center.png
95.000 ₫,132.000 ₫,28%,875,"Gel Rửa Mặt Simple Thanh Khiết, Giảm Bóng Nhờn 150ml",Purifying Gel Wash,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-simple-kiem-dau-ngua-mun-cho-da-mun-150ml_2iwHVtrRtzaCpzyW_img_380x380_64adc6_fit_center.png
136.000 ₫,203.000 ₫,33%,549,Serum Dưỡng Thể Vaseline Chống Nắng Sáng Da 300ml (Mới),Healthy Bright Daily Protection & Brightening Serum SPF 50+ PA++++,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-serum-chong-nang-co-the-vaseline-duong-sang-da-300ml-moi_q2Fo4fog5GcZcoCC_img_380x380_64adc6_fit_center.png
145.000 ₫,198.000 ₫,27%,512,Nước Tẩy Trang Simple Làm Sạch Trang Điểm Vượt Trội 400ml,Kind To Skin Micellar Cleansing Water,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-nuoc-tay-trang-simple-lam-sach-trang-diem-va-cap-am-400ml_ASVstGNujUHqxMZv_img_380x380_64adc6_fit_center.png
150.000 ₫,234.000 ₫,36%,472,Sữa Tắm Lifebuoy Detox Than Hoạt Tính & Cám Gạo 800g,,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-lifebuoy-detox-than-hoat-tinh-cam-gao-800g-1718681642_img_380x380_64adc6_fit_center.jpg
223.000 ₫,589.000 ₫,62%,302,Combo Simple Chăm Sóc Cho Da Sạch Khỏe Đàn Hồi 3 Món,Micellar Cleansing Water 200ml + Refreshing Facial Wash Gel 150ml + Soothing Facial Toner 200ml,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422203645-1733714490_img_380x380_64adc6_fit_center.jpg
136.000 ₫,199.000 ₫,32%,495,Smoothie Tẩy Da Chết Dove Hương Hoa Anh Đào 298g,Moisturizing Body Scrub Sakura Fragrance,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-smoothie-tay-da-chet-dove-huong-hoa-anh-dao-298g_ophCG831SZbpTak6_img_380x380_64adc6_fit_center.png
133.000 ₫,195.000 ₫,32%,498,Sữa Dưỡng Thể Vaseline Gluta-Hya Nâng Tông Tức Thì 300ml,Healthy Bright Gluta-Hya Body Tone-Up UV Lotion,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-duong-the-vaseline-gluta-hya-nang-tong-tuc-thi-300ml_mk5mZxNmPzgom8s1_img_380x380_64adc6_fit_center.png
726.000 ₫,1.300.000 ₫,44%,90,Bàn Chải Điện P/S S100 Pro Sạch Mảng Bám Tới 10X Màu Xanh,S100 Pro Expertcare,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-ban-chai-dien-p-s-s100-pro-cong-nghe-song-am-mau-xanh-ombre_cNLuTjZCmhfDw6yK_img_380x380_64adc6_fit_center.png
76.000 ₫,105.000 ₫,28%,840,Serum Ngăn Mùi Dove Giúp Da Sáng Mịn Đều Màu 40ml,Deodorant Dry Serum 3% Niacinamide + 10X Collagen,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-khu-mui-dove-collagen-b3-duong-sang-deu-mau-40ml_f5DsTn81VR3gbdTU_img_380x380_64adc6_fit_center.png
143.000 ₫,214.500 ₫,33%,401,Sữa Tắm Lifebuoy Detox Thảo Dược & Hoa Sen 800g,,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-lifebuoy-detox-thao-duoc-hoa-sen-800g-1718682474_img_380x380_64adc6_fit_center.jpg
91.000 ₫,139.000 ₫,35%,585,Sữa Tắm Hazeline Sáng Mịn Dưỡng Ẩm Yến Mạch & Dâu Tằm 1kg,,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422208316-1689233754_img_380x380_64adc6_fit_center.jpg
158.000 ₫,234.000 ₫,32%,327,Sữa Tắm Lifebuoy Detox Muối Hồng & Rau Má 800g,,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-lifebuoy-detox-dau-tram-tra-muoi-hong-800g-1720692667_img_380x380_64adc6_fit_center.jpg
200.000 ₫,264.000 ₫,24%,219,Combo 2 Sữa Rửa Mặt Simple Giúp Da Sạch Thoáng 150ml,Kind To Skin Refreshing Facial Wash Gel,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-sua-rua-mat-simple-giup-da-sach-thoang-150ml_EdfDMsTUHJtE2ypW_img_380x380_64adc6_fit_center.png
65.000 ₫,82.000 ₫,21%,609,Sáp Dưỡng Môi Vaseline Hồng Xinh 7g,Lip Therapy Rosy Lips,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sap-duong-moi-hong-xinh-vaseline-7g-1726631121_img_380x380_64adc6_fit_center.jpg
148.000 ₫,229.000 ₫,35%,261,Serum Dưỡng Tóc TRESemmé Vào Nếp Suôn Mượt 100ml (Mới),Keratin Smooth KeratinBond+ Serum,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-serum-duong-toc-tresemme-vao-nep-suon-muot-100ml-moi_vgrNQhzSb8MH8JYx_img_380x380_64adc6_fit_center.png
278.000 ₫,398.000 ₫,30%,133,Combo 2 Smoothie Tẩy Da Chết Dove Đường Nâu & Hương Dừa 298g,Moisturizing Body Scrub Sugar & Coconut Fragrance,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-smoothie-tay-da-chet-dove-duong-nau-huong-dua-298g_P1GSP9yj8GHxWSFs_img_380x380_64adc6_fit_center.png
245.000 ₫,300.000 ₫,18%,148,Combo 2 Sữa Dưỡng Thể Vaseline Sáng Da Chuyên Sâu Ban Đêm (330ml/chai),Gluta-Hya Serum Burst UV Lotion Dewy Radiance,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422211152-1689240954_img_380x380_64adc6_fit_center.jpg
139.000 ₫,250.000 ₫,44%,254,Smoothie Tẩy Da Chết Dove Đường Nâu & Hương Dừa 298g,Moisturizing Body Scrub Sugar & Coconut Fragrance,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-smoothie-tay-da-chet-dove-duong-nau-huong-dua-298g_Snn1ue9tAsJUwD3r_img_380x380_64adc6_fit_center.png
197.000 ₫,264.000 ₫,25%,156,"Combo 2 Gel Rửa Mặt Simple Thanh Khiết, Giảm Bóng Nhờn 150ml",Purifying Gel Wash,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-gel-rua-mat-simple-thanh-khiet-giam-bong-nhon-150ml_xfatvze4ELmbxA3V_img_380x380_64adc6_fit_center.png
