new_price,old_price,discount,sold,vn_name,en_name,url_thumbnail,discount_percentage
206000.0,275000.0,25%,189.0,Sữa Tắm Nước Hoa Tesori dOriente Hương Hoa Sen 500ml,Shower Cream Lotus Flower And Shea Butter,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-nuoc-hoa-tesori-d-oriente-huong-hoa-sen-500ml-1709092708_img_380x380_64adc6_fit_center.png,25.09090909090909
218000.0,275000.0,21%,65.0,Sữa Tắm Nước Hoa Tesori dOriente Hương Thanh Long 500ml,Shower Cream Fiore Del Dragone,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-nuoc-hoa-tesori-d-oriente-huong-thanh-long-500ml-1709089373_img_380x380_64adc6_fit_center.png,20.727272727272727
228000.0,279000.0,18%,39.0,Kem Dưỡng Thể Tesori dOriente Hương Hoa Sen 300g,Body Cream Lotus Flower And Acacias Milk,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-duong-the-tesori-d-oriente-huong-hoa-sen-300g-1720494336_img_380x380_64adc6_fit_center.jpg,18.27956989247312
137000.0,175000.0,22%,39.0,Sữa Tắm Nước Hoa Tesori dOriente Hương Hoa Sen 250ml,Shower Cream Lotus Flower And Shea Butter,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-nuoc-hoa-tesori-d-oriente-huong-hoa-sen-250ml-1720494104_img_380x380_64adc6_fit_center.jpg,21.714285714285715
205000.0,275000.0,25%,20.0,Sữa Tắm Nước Hoa Tesori dOriente Hy Lạp Cổ Đại 500ml,Shower Cream Black Rose And Labdanum,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-nuoc-hoa-tesori-d-oriente-hy-lap-co-dai-500ml-1709092582_img_380x380_64adc6_fit_center.png,25.454545454545453
137000.0,175000.0,22%,16.0,Sữa Tắm Nước Hoa Tesori dOriente Hương Thanh Long 250ml,Shower Cream Fiore Del Dragone,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-nuoc-hoa-tesori-d-oriente-huong-thanh-long-250ml-1720494550_img_380x380_64adc6_fit_center.jpg,21.714285714285715
148000.0,175000.0,15%,8.0,Sữa Tắm Nước Hoa Tesori dOriente Hy Lạp Cổ Đại 250ml,Shower Cream Black Rose And Labdanum,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-nuoc-hoa-tesori-d-oriente-hy-lap-co-dai-250ml-1720494736_img_380x380_64adc6_fit_center.jpg,15.428571428571427
15000.0,0.0,,12.0,Mini 1 Gói Sữa Tắm Nước Hoa Tesori dOriente 7ml Mùi Ngẫu Nhiên,Unknown,https://media.hcdn.vn/catalog/product/g/o/google-shopping-gift-sample-sua-tam-nuoc-hoa-tesori-d-oriente-goi-7ml-1682309794_img_380x380_64adc6_fit_center.jpg,0.0
148000.0,175000.0,15%,0.0,Sữa Tắm Nước Hoa Tesori dOriente Hương Ayurveda 250ml,Shower Cream Ayurveda,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-nuoc-hoa-tesori-d-oriente-huong-ayurveda-250ml-1709089864_img_380x380_64adc6_fit_center.png,15.428571428571427
219000.0,275000.0,20%,0.0,Sữa Tắm Nước Hoa Tesori dOriente Hương Ayurveda 500ml,Shower Cream Ayurveda,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-nuoc-hoa-tesori-d-oriente-huong-ayurveda-500ml-1709089936_img_380x380_64adc6_fit_center.png,20.363636363636363
219000.0,275000.0,20%,0.0,Sữa Tắm Nước Hoa Tesori dOriente Tinh Dầu Macca 500ml,Shower Cream Vaniglia e Zenzero del Madagascar,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-nuoc-hoa-tesori-d-oriente-tinh-dau-macca-500ml-1709089555_img_380x380_64adc6_fit_center.png,20.363636363636363
15000.0,30000.0,50%,3.0,Miếng Dán Ciracle Hỗ Trợ Hút Và Đẩy Mụn Đầu Đen 1 Miếng,Goodbye Blackhead,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-mat-na-serum-ciracle-day-mun-dau-den-1-mieng-1736912749_img_380x380_64adc6_fit_center.jpg,50.0
60000.0,80000.0,25%,0.0,Combo 4 Miếng Dán Ciracle Hỗ Trợ Hút Và Đẩy Mụn Đầu Đen,Goodbye Blackhead,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-4-mieng-ciracle-day-mun-dau-den-1736912455_img_380x380_64adc6_fit_center.jpg,25.0
120000.0,160000.0,25%,0.0,Combo 8 Miếng Dán Ciracle Hỗ Trợ Hút Và Đẩy Mụn Đầu Đen,Goodbye Blackhead,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-8-mieng-ciracle-day-mun-dau-den-1736995596_img_380x380_64adc6_fit_center.jpg,25.0
143000.0,214500.0,33%,1.424,Sữa Tắm Lifebuoy Detox Matcha  Khổ Qua 800g,Unknown,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-lifebuoy-detox-matcha-kho-qua-800g-1718682846_img_380x380_64adc6_fit_center.jpg,33.33333333333333
139000.0,199000.0,30%,1.358,Smoothie Tẩy Da Chết Dove Hương Lựu Đỏ 298g,Moisturizing Body Scrub Pomegranate Fragrance,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-smoothie-tay-da-chet-dove-huong-luu-do-298g_mwe1jkQYcBmDVrzK_img_380x380_64adc6_fit_center.png,30.15075376884422
95000.0,132000.0,28%,1.611,Sữa Rửa Mặt Simple Giúp Da Sạch Thoáng 150ml,Kind To Skin Refreshing Facial Wash Gel,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-rua-mat-danh-cho-da-nhay-cam-simple-150ml_24eoXozFDukWYZTr_img_380x380_64adc6_fit_center.png,28.030303030303028
227000.0,300000.0,24%,514.0,Combo Sữa Dưỡng Thể Vaseline Sáng Mịn Da Ngày  Đêm 330mlx2,GlutaHya Serum Burst UV Lotion Flawless Bright  Dewy Radiance,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422211153-1689238041_img_380x380_64adc6_fit_center.jpg,24.333333333333336
112000.0,150000.0,25%,990.0,Sữa Dưỡng Thể Vaseline Sáng Da Chuyên Sâu Ban Đêm 330ml,GlutaHya Serum Burst UV Lotion Dewy Radiance,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-serum-vaseline-gluta-hya-sang-da-chuyen-sau-ban-dem-330ml_8aVEHBzsg2sryjDj_img_380x380_64adc6_fit_center.png,25.333333333333336
109000.0,180000.0,39%,948.0,Nước Hoa Hồng Simple Làm Dịu Da  Cấp Ẩm 200ml,Kind to Skin Soothing Facial Toner,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-nuoc-hoa-hong-simple-danh-cho-da-nhay-cam-200ml_1BkMZjrfHvtkHYYS_img_380x380_64adc6_fit_center.png,39.44444444444444
303000.0,370000.0,18%,293.0,Bộ Gội Xả TRESemmé Keratin Vào Nếp Suôn Mượt 640g620g,Keratin Smooth Shampoo  Conditioner,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-tresemme-keratin-smooth-vao-nep-muot-ma-dau-goi-640g-dau-xa-620g_rfohrSXsCtjqoDzF_img_380x380_64adc6_fit_center.png,18.10810810810811
95000.0,132000.0,28%,875.0,Gel Rửa Mặt Simple Thanh Khiết Giảm Bóng Nhờn 150ml,Purifying Gel Wash,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-simple-kiem-dau-ngua-mun-cho-da-mun-150ml_2iwHVtrRtzaCpzyW_img_380x380_64adc6_fit_center.png,28.030303030303028
136000.0,203000.0,33%,549.0,Serum Dưỡng Thể Vaseline Chống Nắng Sáng Da 300ml Mới,Healthy Bright Daily Protection  Brightening Serum SPF 50 PA,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-serum-chong-nang-co-the-vaseline-duong-sang-da-300ml-moi_q2Fo4fog5GcZcoCC_img_380x380_64adc6_fit_center.png,33.004926108374384
145000.0,198000.0,27%,512.0,Nước Tẩy Trang Simple Làm Sạch Trang Điểm Vượt Trội 400ml,Kind To Skin Micellar Cleansing Water,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-nuoc-tay-trang-simple-lam-sach-trang-diem-va-cap-am-400ml_ASVstGNujUHqxMZv_img_380x380_64adc6_fit_center.png,26.767676767676768
150000.0,234000.0,36%,472.0,Sữa Tắm Lifebuoy Detox Than Hoạt Tính  Cám Gạo 800g,Unknown,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-lifebuoy-detox-than-hoat-tinh-cam-gao-800g-1718681642_img_380x380_64adc6_fit_center.jpg,35.8974358974359
